NoCommande;PrioriteCommande;IdClient;Produit;PrixUnitaire;MargeProduitBrut;Discount;FraisExpedition;ModeExpedition;SegmentClient;DateCommande;DateExpedition;Marge;QuantiteVentes;MontantVentes
89020;Non précisé;2733;P00028;11,34;0,36;0,04;5,01;Voie aérienne;TPE;12/11/2011 00:00;13/11/2011 00:00;27,5;13;148,69
89329;Moyen;521;P00028;11,34;0,36;0,05;5,01;Voie aérienne;TPE;31/12/2011 00:00;01/01/2012 00:00;60,045;12;138,05
42528;Moyen;102;P00029;35,44;0,38;0,02;19,99;Voie aérienne;Particulier;23/02/2011 00:00;25/02/2011 00:00;47,65;37;1356,45
88206;Moyen;103;P00029;35,44;0,38;0,02;19,99;Voie aérienne;Particulier;23/02/2011 00:00;25/02/2011 00:00;47,65;9;329,95
86502;Critique;1908;P00030;12,28;0,38;0,06;6,47;Voie aérienne;Entreprise;21/07/2011 00:00;22/07/2011 00:00;47,1;15;188,98
32099;Non précisé;1176;P00030;12,28;0,38;0,08;6,47;Voie aérienne;Home Office;05/05/2011 00:00;05/05/2011 00:00;25,58;59;729,2
5703;Moyen;1745;P00030;12,28;0,38;0,06;6,47;Voie aérienne;Particulier;15/05/2011 00:00;16/05/2011 00:00;6,9948;42;518,42
87248;Moyen;1748;P00030;12,28;0,38;0,06;6,47;Voie aérienne;Particulier;15/05/2011 00:00;16/05/2011 00:00;10,44;11;135,78
88787;Critique;1707;P00031;55,98;0,36;0,06;13,88;Voie aérienne;TPE;17/08/2011 00:00;17/08/2011 00:00;671,025;17;972,5
86641;Moyen;759;P00031;55,98;0,36;0,08;13,88;Voie aérienne Express;TPE;26/02/2011 00:00;27/02/2011 00:00;98,32;3;165,18
88064;Moyen;465;P00110;48,04;0,37;0,02;7,23;Voie aérienne;TPE;13/12/2011 00:00;14/12/2011 00:00;441,4275;13;639,75
90188;Critique;911;P00110;48,04;0,37;0,07;7,23;Voie aérienne;Entreprise;13/03/2011 00:00;14/03/2011 00:00;257,7702;8;373,58
87384;Peu urgent;2605;P00110;48,04;0,37;0,02;7,23;Voie aérienne Express;Entreprise;20/05/2011 00:00;20/05/2011 00:00;172,6104;5;250,16
87967;Non précisé;2256;P00134;18,97;0,37;0,01;5,21;Voie aérienne;Entreprise;04/08/2011 00:00;05/08/2011 00:00;104,364;3;62,33
24903;Peu urgent;2618;P00034;48,91;0,38;0,05;5,81;Voie aérienne;Entreprise;19/10/2011 00:00;26/10/2011 00:00;594,872;59;2943,69
88018;Peu urgent;2619;P00034;48,91;0,38;0,05;5,81;Voie aérienne;Entreprise;19/10/2011 00:00;26/10/2011 00:00;516,396;15;748,4
86105;Peu urgent;3043;P00034;48,91;0,38;0,08;5,81;Voie aérienne;Entreprise;27/02/2011 00:00;06/03/2011 00:00;126,5046;4;183,34
86200;Peu urgent;3039;P00035;38,76;0,36;0,04;13,26;Voie aérienne Express;Entreprise;30/06/2011 00:00;05/07/2011 00:00;278,6979;10;403,91
91425;Non précisé;2750;P00035;38,76;0,36;0,1;13,26;Voie aérienne;TPE;23/09/2011 00:00;23/09/2011 00:00;-166,7155;15;534,34
90911;Moyen;552;P00036;40,99;0,36;0,03;17,48;Voie aérienne;Entreprise;13/08/2011 00:00;14/08/2011 00:00;72,3424;5;220,66
91299;Moyen;3351;P00036;40,99;0,36;0,05;17,48;Voie aérienne;TPE;11/01/2011 00:00;12/01/2011 00:00;251,9856;11;462,91
88759;Urgent;2792;P00036;40,99;0,36;0,02;17,48;Voie aérienne Express;Entreprise;20/01/2011 00:00;22/01/2011 00:00;-31,3844;1;43,57
87465;Urgent;170;P00036;40,99;0,36;0,01;17,48;Voie aérienne;Entreprise;16/03/2011 00:00;18/03/2011 00:00;94,97;4;173,18
87429;Moyen;1557;P00037;6,48;0,37;0,07;6,22;Voie aérienne;Particulier;25/09/2011 00:00;27/09/2011 00:00;-469,084;20;131,79
89724;Peu urgent;2497;P00111;5,98;0,4;0,07;10,39;Voie aérienne;TPE;06/08/2011 00:00;10/08/2011 00:00;-258,44;1;11,04
89887;Critique;1653;P00111;5,98;0,4;0;10,39;Voie aérienne;Entreprise;01/11/2011 00:00;01/11/2011 00:00;48,256;31;194,09
88841;Peu urgent;3379;P00038;9,99;0,4;0,01;4,78;Voie aérienne;Home Office;23/02/2011 00:00;25/02/2011 00:00;-1641,85;10;106,99
86904;Critique;3154;P00039;4,98;0,36;0,06;6,07;Voie aérienne;Particulier;09/11/2011 00:00;11/11/2011 00:00;395,328;8;44,35
86602;Non précisé;1836;P00039;4,98;0,36;0,03;6,07;Voie aérienne;Home Office;25/03/2011 00:00;28/03/2011 00:00;-102,36;8;40,5
90315;Peu urgent;2215;P00040;6,68;0,37;0,09;6,92;Voie aérienne;Entreprise;07/09/2011 00:00;16/09/2011 00:00;-162,54;22;138,24
87910;Peu urgent;3394;P00040;6,68;0,37;0,1;6,92;Voie aérienne;Particulier;17/09/2011 00:00;24/09/2011 00:00;-74,03;9;57,22
87348;Moyen;360;P00040;6,68;0,37;0,01;6,92;Voie aérienne;TPE;01/01/2011 00:00;03/01/2011 00:00;-152,6068;11;75,24
87588;Moyen;1190;P00040;6,68;0,37;0,1;6,92;Voie aérienne;TPE;10/01/2011 00:00;12/01/2011 00:00;-58,28;3;19,77
57318;Moyen;1193;P00040;6,68;0,37;0,1;6,92;Voie aérienne;TPE;10/01/2011 00:00;12/01/2011 00:00;-75,2;12;79,06
88434;Critique;1002;P00040;6,68;0,37;0,05;6,92;Voie aérienne;Home Office;25/05/2011 00:00;26/05/2011 00:00;-15;1;8,84
86579;Peu urgent;1142;P00112;5,78;0,36;0,03;4,96;Voie aérienne;TPE;30/09/2011 00:00;04/10/2011 00:00;-42,45;11;63,86
90633;Urgent;1889;P00112;5,78;0,36;0,01;4,96;Voie aérienne;Entreprise;09/11/2011 00:00;10/11/2011 00:00;7,38;28;175,64
32164;Non précisé;1228;P00112;5,78;0,36;0,02;4,96;Voie aérienne;TPE;02/02/2011 00:00;03/02/2011 00:00;-19,04;12;77,01
90379;Non précisé;1230;P00112;5,78;0,36;0,02;4,96;Voie aérienne;TPE;02/02/2011 00:00;03/02/2011 00:00;-19,04;3;19,25
87621;Peu urgent;2930;P00112;5,78;0,36;0,09;4,96;Voie aérienne;TPE;29/05/2011 00:00;05/06/2011 00:00;-58,25;11;59,74
